week,tv_spend,google_spend,instagram_spend,sales
2022-01-03,35905.19084803855,19577.555186418034,6911.417921854768,428288.3880477089
2022-01-10,20734.53441497701,49329.11949749115,14333.53115482111,522094.3737747702
2022-01-17,16966.170026113487,29235.27758999721,9994.801320323235,494470.89600644144
2022-01-24,3238.724152358781,10648.783263962476,10530.828186740817,415590.49918943335
2022-01-31,65477.65301225293,18517.649039345848,5290.137195271518,463183.83793762577
2022-02-07,27210.113122082486,14409.350115495317,6588.706905695943,474480.44769125705
2022-02-14,24739.53718410397,10284.090044557342,14850.300471065697,467474.8503206287
2022-02-21,8027.721694185601,8261.065017497922,9669.752089440673,404838.69521420513
2022-02-28,42200.307119685756,23651.30454939234,7608.895885423004,484109.92892258015
2022-03-07,19610.721524752113,15863.673823030083,17188.996502597245,492029.47268891725
2022-03-14,31815.659090848832,16687.714103003622,4683.032646557786,484519.957970581
2022-03-21,52399.28387333445,37835.66091383179,15906.048909014444,538693.960997234
2022-03-28,16221.202726279776,17543.401593790677,5607.1748376004925,488116.36790255556
2022-04-04,29125.33434466627,33805.98628336757,20511.312286036053,529916.1846933672
2022-04-11,44114.3645912471,13966.621125285286,8104.209824444521,493158.49976243253
2022-04-18,93403.9255852401,22490.836991682332,6548.4235128778855,491249.0718098045
2022-04-25,20982.789177019178,26346.974173035283,4128.158672526313,481811.3691260404
2022-05-02,16487.95677185044,35665.83953185618,10640.638076615322,513418.4492251355
2022-05-09,26927.4126071832,36654.62588480056,4573.428918907626,506857.3587025012
2022-05-16,19176.523758464704,25440.376376316643,12668.216191233518,513361.55198841647
2022-05-23,6387.683614476196,16296.387622845647,9168.73981476004,460263.0094982151
2022-05-30,33669.083130476516,24877.943188140194,9827.45602500818,522376.15533928946
2022-06-06,3211.5762285900096,20988.828761248344,10910.243923657647,465008.48235656344
2022-06-13,109469.96683174306,18917.72269305725,13044.122015399986,528460.8005150623
2022-06-20,54303.19138321448,32741.42738200067,26330.028628821747,565453.5825482163
2022-06-27,6493.683291115296,10833.11262335503,6482.919027763918,476637.66449128493
2022-07-04,5389.7579227838205,22241.630449953605,4619.860691065731,472412.1100433345
2022-07-11,68628.13120023135,12649.730730624738,8028.145111685248,470180.2882143721
2022-07-18,44294.432395563796,8955.106300047471,2084.894780687445,402039.8077330224
2022-07-25,28748.576156664185,24911.716861807286,18084.09149889894,528824.9248351883
2022-08-01,36530.65830041622,25453.077319907166,4669.407084771132,500653.55343536916
2022-08-08,29772.673674554164,25395.627402100858,4520.421464042588,484550.99609798216
2022-08-15,81331.13279667641,28141.477066842355,3492.3087273519827,482969.85509615904
2022-08-22,43549.168578033925,36555.97193801113,11291.891743807078,527833.6523491162
2022-08-29,20542.797572083953,12923.85097198385,7845.48598176049,481114.721133357
2022-09-05,32205.38918583453,21503.640534208036,21677.636084938076,532477.7788421668
2022-09-12,39178.692537705836,11980.456987187847,3155.938274146119,476585.6768286521
